Puzzle,Solution,
..4...1.69.2.......1..35......2.1....29.57...1...6........96.7.5......1.69.4....5,intermediate,354729186962148753718635942436281597829357461175964238281596374543872619697413825,
.3....8..5..4......1.387.5.........1.7...3.6..5.....8.3.91.6.45..1.95.........7..,intermediate,437521896528469173916387452694758321872913564153642987389176245741295638265834719,
.632.....8...1.........43..2....8....9...5...1..3..9...825..4..45.8.9.....1.32..5,intermediate,563287149824913576719654382235798614698145723147326958382561497456879231971432865,
7....41.....2.......13.9..4.2..6...3.6.5.2..7.....39......76..9..4........8....46,intermediate,739654128846217395251389674927168453463592817185743962312476589694825731578931246,
1....6.53.2....7....4.2..6..5.....1.......42....6.....5..3.21....91...4..1..459..,intermediate,198476253625831794374529861453287619761953428982614375547392186239168547816745932,
.7..8.5.33...7.461..5...7...13..9.7868......9....6.3..9.1............8.5...7...3.,intermediate,276481593398572461145693782513249678684357129729168354961835247437926815852714936,
....6..8......92.7..8..7.6116..9.....2.5.8......13.7....1............8.6.7...2..9,intermediate,712465983536819247948327561167294358329578614485136792691783425253941876874652139,
..2..5.7.1..6....95.8....6..35.......1..23..5............3.7..2..65...93.9...1...,intermediate,962435871143678529578912364235846917619723485487159236851397642726584193394261758,
........7.........962...8..85.3..7.43...65....96......6...2..7.7..83.45...34..9..,intermediate,538219647417683592962574813851392764374165289296748135645921378729836451183457926,
4.57...3....1.48...213............1........56.67..8....7....6..6....1....4...62.3,intermediate,485762139736194825921385467254639718819427356367518942572843691693271584148956273,
2.........3.54.7.......1.96...3.....51.2.74.9.....4625.2...5.........94....7.3..1,intermediate,281976354639542718745831296462359187518267439973184625126495873357618942894723561,
.3..1..6.......583.....54........1..8......5..41.....85..14.....8..697..1.7.53.9.,intermediate,435718269719624583268395471653982147872431956941576328596147832384269715127853694,
..4..5...72...9..1......4.5..1..2.93.8.......4.91......1.....8..32.....4....3..72,intermediate,364815927725349861198276435651482793283597146479163258517624389932758614846931572,
...74.5.....25..183........8..............7..26..8...5.1...63..6....7..44..51..2.,intermediate,126748593749253618385691247831975462954362781267184935518426379692837154473519826,
5.74.6..........2..3...........74..5.....3...48....97.7..5..89.8..76...2..2.8.5..,intermediate,527436189618957324934218756396874215275193648481625973763542891859761432142389567,
2.8..13..7...8..9....7..4......1....8.4.26.7...694.8...93.6....62.........73.....,intermediate,248691357735284196169735428972813645814526973356947812593162784621478539487359261,
6..3....85.3.8..2.28.....9.8...67....9.5......6..48.......2.6........3.4...79..5.,intermediate,679352148543189726281674593812967435794531862365248917157423689926815374438796251,
1....64.....7..1....7........1.2..8.......5.68....7...9......4..84.5927.7.54.26.1,intermediate,198236457246795138357841962561324789473918526829567314912673845684159273735482691,
..1.6.4...752.4..89..7......2...7.1...7..9.86.89.2..75..81.6..................56.,intermediate,831965427675234198942718653526387914317459286489621375258146739763592841194873562,
5..3...29.82..9.4..9...5...86.....97.3..9.2...5.6....3.......3....2..8..42...8...,intermediate,541386729382179645796425318864532197137894256259617483678941532915263874423758961,
...53...7.6.....23...9..8.......943....42...5.8.......9...56.....3.9..7........48,intermediate,428531697569748123731962854275689431196423785384175269947856312813294576652317948,
5.....84...78...96..........9..5..2.8....6.5..2.....63...38.....6....5..7.3...2.4,intermediate,531697842247815396689423175396751428874236951125948763952384617468172539713569284,
.4.123......4.825........7..6.7..5....8....3......5..6....164..1.48..3..63....7..,intermediate,547123689916478253823569174369782541258641937471935826782316495194857362635294718,
.1.6...78.8.1.3.42...7....12.9......84....9.......1..6.....42..6........17..9....,intermediate,312649578987153642456782391269438715841567923735921486598314267624875139173296854,
........57..9..2.....85.1...5.2...9.61...3...83..1.....9.....3...6.3......8...95.,intermediate,961372845785941263243856179457268391612493587839517624194685732526739418378124956,
....1.....9...8.....15.9.6.5.6....4381.6.5.9.2.....6....8.461....38........2.....,intermediate,657314928392768514481529367576192843814635792239487651728946135943851276165273489,
..4.......9......6.12...589.......95...32..4......48.3..9.......3..1..6.5..649.1.,intermediate,874956231395281476612473589243768195981325647756194823169832754438517962527649318,
.....5.......9.38......7...9..71...2.....6..3.8......7..7.5.....63..812.5.1.63.7.,intermediate,248635791756192384319847256935714862172586943684329517827451639463978125591263478,
.3..4...154.8.2...6.1.............89...1.........2364..6..81.....36.......89..2..,intermediate,932746851547812963681359724325467189476198532819523647764281395293675418158934276,
.4....1...2.....9...9.1468.56.2..8.9..8....3.........6......51813..2.4.......6...,intermediate,846392175721568394359714682563271849978645231214983756692437518135829467487156923,
8.691......3.....62.4........8...1.............234...5..95.1..3...89....45.6..2..,intermediate,876915432513482976294736518738259164945168327162347895689521743327894651451673289,
.5.1.678........1.3..7....67.85.......16..9...4...8..7...97.......3..1.4....54.3.,intermediate,459126783687493512312785496768549321521637948943218657234971865895362174176854239,
9....2..1.7...3.....5...7............47..1....21.45..3.9.1....5.3256..4.4...3...9,intermediate,963752481874613592215498736589376214347921658621845973796184325132569847458237169,
.17.85463..8..6.1..341.2....6....5..........2.....4....4.6......7.....385....8..4,intermediate,217985463958346217634172859769823541485761392321594786843617925172459638596238174,
39...5..7..2.......5.....49...32....87..4...1.....179..1.25..3.58...9......1.....,intermediate,394615287762894513158732649941327865875946321236581794417258936583469172629173458,
..7.........6.2794.....52.3...3.1......7.4.25.........1.3.4.....52..96...79...54.,intermediate,627493158538612794914875263286351479391764825745928316163547982452189637879236541,
96..72.584.7..59..5....8.4..91..67...4.5.9..........8........6...51..8.4.........,intermediate,963472158487315926512968347291846735748539612356721489179284563625193874834657291,
....1..2..........2.8.6...7..7....4.......1633.6..2.797..1..8.....9.4...43..8...2,intermediate,673418925145297386298365417957631248824759163316842579769123854582974631431586792,
....9.....3....65.5.6.1..848.1...3...957.............9..7.6.4.8...3...154.......3,intermediate,284596137139478652576213984841925376695734821723681549357162498968347215412859763,
9.....65..71....348.6...19.....43........7.....35.6........5.8..698...7..1.4.....,intermediate,934718652271659834856324197785243916692187543143596728327965481469831275518472369,
.5.8.1..2...296....835......7.....2.92.....67...1...3........83..79...1...57.....,intermediate,659831472714296358283574691378659124921348567546127839192465783467983215835712946,
8.2....7.57....4........63.4.578..9....2.9....9.4.3...9......2.283....4...7...3..,intermediate,832641975576932481149578632425786193368219754791453268914365827283197546657824319,
..6.15...1...7............8..57.2..9.....9....871..4.....59...4..9..8..67.42.....,intermediate,426815397198673542573924618315742869642389751987156423861597234259438176734261985,
.2...6..71..8..3.6...25..1.......7.86.7.9....5......3......798.3.9..16..7........,intermediate,823416597154879326976253814491325768637198245582764139215647983349581672768932451,
7.26....1...8..42.1..74...5..8....4..........5...6..1.41.....596...9.8....9..7...,intermediate,742659381956831427183742695368915742291478536574263918417386259625194873839527164,
.9..6..18...7..4.23.2....6.....712.99..2...43......7............1...8...7.4.....6,intermediate,497362518168759432352814967836471259971285643245936781623147895519628374784593126,
485...7..9...7..........1.....8.7..5...19.8....6..537.167.4.95...3.......9.......,intermediate,485312796931674528672589134329867415754193862816425379167248953243951687598736241,
.37.4......27.....6.8.....2....1..3..1..7..9.3..82..4.9.......6..4.......2.9...18,intermediate,537642189192785364648391752489516237216473895375829641951238476864157923723964518,
...69........814......4.738...2..3.41...3.9.........1.31....67.429..78..76.......,intermediate,847693521253781496691542738576219384182435967934876215318954672429167853765328149,
.3........426...7...627............965......2..37.....49...3.2..7145.93...5.....4,intermediate,739814265542639178816275493127586349654391782983742651498163527271458936365927814,
..8.9.6....18.4...3...5....2.......3..3..6...9..4....1.2.......8.......5.45..18.6,intermediate,458192637671834952392657148284915763513276489967483521129568374836749215745321896,
42.........32..178.......3.9..1.25..37.95......5.8.....48........1....47...7...5.,intermediate,427318695593264178816597234984172563372956481165483729748635912651829347239741856,
6....1.....96381......9.....3....7.44.....6......438.........1...71..4...1.7563.8,intermediate,628571943549638172173492586831965724452817639796243851965384217387129465214756398,
..38....64.5.....2..1..48....7..6.3...6.7....8..2....43..72..8....61..........5..,intermediate,973852146485167392621394875247586931136479258859231764314725689598613427762948513,
8.7.....3.35...86.......9.....65.....7.....9.5.618....9..5.........3...6..4....1.,intermediate,897265143435791862612348957349657281178423695526189734963512478781934526254876319,
....6..2......5..345.21..8763.74.51.8......42.2..8..76.4...6.5.........42........,intermediate,987364125162875493453219687639742518871653942524981376348126759716598234295437861,
5.1....9.....923.4.....7..23...2....9..5....1..89...4.7......35......8........2.7,intermediate,521834796687192354493657182356421978974583621218976543769218435132745869845369217,
.7..12.68....5...1...9.675.7........6.4.9...2159.4............6.92......58....9..,intermediate,975312468863457291241986753728631549634795812159248637417529386392864175586173924,
29...3..8...7.....3.4.16...9.....17....2..4.6....3..8....6...49.8.....6...6...2..,intermediate,297543618618792354354816927925468173873251496461937582132675849589324761746189235,
1.....4.37....9...23.64.9..6.397.2..8..4.139.................78....9.63..1..6....,intermediate,159782463764319825238645917643978251875421396921536784496253178587194632312867549,
.4.1..8......87.9.1......4.3.7.69...62.....39...34..7....6.4..2.8..2........91...,intermediate,945136827236487195178952643357269418624718539891345276513674982489523761762891354,
.2..8..49.39.4.....4.7...6..........7....5.9.......8...9....3.2.8..9.5..4..23....,intermediate,527386149639142758841759263958413627763825491214967835196574382382691574475238916,
..4.......823..4.917........3......7.61...2..4....21..7..6.8.....34...9.8.62.9.4.,intermediate,394126578682375419175894632238541967961783254457962183749658321523417896816239745,
.6.......9..5....8.278.63.5...71253....6....7.....3....5...16.....2..7.3....9...2,intermediate,568139274934527168127846395849712536315684927672953841253471689491268753786395412,
3......78....8.1.6..5......7.34..2...2..1.5..8..6........7.1...91...........68...,intermediate,346125978297384156185976432763459281429817563851632794632791845918543627574268319,
.43...2...7...19..61.....34........7...1763.....2.96...3.7...2....9.41........86.,intermediate,543697218278431956619582734162843597495176382387259641931768425856924173724315869,
1....65..............91.8.645....7....7.9......8.3...5.85...1..6....4..3..4.63...,intermediate,142386597896547312573912846451628739237495681968731425385279164619854273724163958,
.87.1..64.5.......6....9.....5....3.1.....4.78....3...41...8.5.....3...6769.4...8,intermediate,987312564351486972642759813295874631136295487874163295413628759528937146769541328,
..34.7.2998........4.6.8...8....43...2.....97.9..5..........75.......26......3..4,intermediate,563417829981325476742698135856974312124836597397152648638249751479581263215763984,
.3.4...2....5.83.........61..1...5.....2....485..4..12........8647........5...6.3,intermediate,936471825214568397578932461421897536763215984859346712392654178647183259185729643,
.63.7...8.......9.......7.3...8.......7...9..1..9...7..4.7.38..6..24..1.9...8..2.,intermediate,563179248724368195819524763492857631357416982186932574241793856678245319935681427,
...3..25..5......3..2.....4........2....641....65..7..2...4.......8.65.73..27..48,intermediate,694387251758412693132659874573198462829764135416523789287945316941836527365271948,
5.....8......4...7.2.1.6....9.2...3............3851....84...392..1.3.6....69..5..,intermediate,517329846369548217428176953195267438872493165643851729784615392951732684236984571,
8.9.3.12..4......3.1....8...9...1.377..4..5.1.2.3....8.3.8..9.5.8.....4.9.7......,intermediate,879635124542189673316742859498561237763428591125397468234876915681953742957214386,
.7...691.3...1.6...9...2........7...23....8....712........8....1.6259....2..73..8,intermediate,572836914348915627691742385815397462239564871467128539753481296186259743924673158,
.....7.8.549.8.6...7...5..2.58...43..9..4...63...9..2................56...2...897,intermediate,123467985549283671876915342658172439297348156314596728765839214981724563432651897,
4....7..2.532.1........5.31..74.2.15...1....79......4.....3....6.........92......,intermediate,461397852753281694829645731387462915246159387915873246174936528638524179592718463,
....1........481.6..12...7.7...6...11.8.5..9.......4.8...576........98.....4...5.,intermediate,429617385357948126681235974794862531168354792235791468843576219576129843912483657,
5....2...7..9...2.....5687.4.76....2..8..41..9..5.7..4..........1....45.....9....,intermediate,563872941784931625192456873437619582658324197921587364876145239219763458345298716,
.5....46.8..62..9.....15.....695.7.4.9.2.....47...1.8.......6.5......2..2...9..1.,intermediate,752839461814627593639415827126958734398274156475361982983142675561783249247596318,
2.......7.......1....2...83...5.....5...9.8..82.73.9...6.1....9..7.2.36.3....9.5.,intermediate,284316597673985214195247683749568132531492876826731945468153729957824361312679458,
..35...6..9....14.1...3.8....781.9..86...437.........895.7...............7.6.....,intermediate,483591267795268143126437895347812956862954371519376428958743612634125789271689534,
4..139.28.9...5....82..6....1.....35............98...1.26.....4.4.3...8.1......96,intermediate,475139628691825473382476159219647835863512947754983261526798314947361582138254796,
.6...4.....4..59..5........4.2...7...5.4...1...71.93...2....5.9.95.26.37......6..,intermediate,269734158874215963531968274412683795953472816687159342726341589195826437348597621,
.9...6.4..6.4....2...8.39........4..5....2.....9....5765.....83..32.47.9.........,intermediate,392176845768495132415823976876539421531742698249681357654917283183254769927368514,
...149.8....2..7....5.8...1........5.5...4..91...9.24......7.......5.3..3.1...8.4,intermediate,726149583418235796935786421249871635853624179167593248584317962692458317371962854,
8..1.6....1...2.......5...6...2.5.4.2.7.48.1.4..6..5..7.3........178.........48..,intermediate,825176394316492758974853126168235947257948613439617582783521469641789235592364871,
94..8.13...5............9.4..6.98.1.1...4.5..2...61.93.2...........1.8.......23.6,intermediate,942786135715934682368125974456398217139247568287561493623859741574613829891472356,
1....5...4.....79.796..3..5....496.3..3...1...7.....4.........83...1..5..6..3.9..,intermediate,128975436435168792796423815851749623943256187672381549217594368389617254564832971,
..4..13..9..86.....8..35..6....9..65..32.6...2...................1.84.5.4..512.3.,intermediate,654921387932867514187435926748193265593246871216758493865379142321684759479512638,
...63...9.2..1.74.4.1..............6..7............82..9...2.876...734....28..6..,intermediate,785634219926518743431729568253481976847296135169357824594162387618973452372845691,
....9.3....4.376...8.5...4275.....9.8....6...3...58......4...7........3.5..67...8,intermediate,675294381214837659983561742756312894891746523342958167138425976467189235529673418,
1.....2...3.8....7..7.1..3...9..2........5.8.....7.3.5......15....3.9..87..2...4.,intermediate,185793264936824517427516839859632471371945682642178395293487156514369728768251943,
.2..96.5..........1.3...6...1.8....7.5.........795...3......8.5.9....31...2.6.7..,intermediate,728396451569741238143582679916823547354617982287954163671439825495278316832165794,
.67.....3..9..58...8....9...95.17...37......56.........2.9..5......7..3.....3861.,intermediate,567189423439725861182346957295417386378692145641853792823961574916574238754238619,
.2......7...............5197....42.64..263........1.9...9..6.5..1..9.7.22.5..7..3,intermediate,924518637157639428683742519731954286498263175562871394379426851816395742245187963,
2.1..6.....6.381.5........3..3.81..41.4...5..5.84.7.......2.6.8..............32..,intermediate,231756849746938125985214763623581974174392586598467312457129638362875491819643257,
...183....48.....1.....2....3.461..9.........4.9.5.63.9.......81....5..32.48...6.,intermediate,627183594548976321391542786732461859865397412419258637953614278186725943274839165,
.........386...471......683..4..7..6..3...85..5.........1..........8..65..856.32.,intermediate,147638592386295471925714683814957236273146859659823714561372948732489165498561327,
.928..6......9.24.3....71.......8....3..6...1.68473..9.4.6..........1...2.1......,intermediate,492815673817396245356247198924158367735962481168473529543689712679521834281734956,
47....9.......1..........61..67.9.4..1..3.......4..8....28..13..3..962...9..4...7,intermediate,471683925963521478258974361386719542514238796729465813642857139837196254195342687,
.2...6...7....29..............6....8...2.94.68.6547.2.2....47...5..3....394......,intermediate,425396187768152943139478652942613578573289416816547329281964735657831294394725861,
....7..2.......9.46...48.....1.97.86.2..6.7....7.1.29.......81...9..1.63....2.4..,intermediate,534179628718632954692548137451297386923865741867413295376954812249781563185326479,
.....9..2...6..1....3.42..5.....6.5....41...3...2..964...9...7..193...46.32......,intermediate,168579432245683197973142685324896751697415823581237964456921378719358246832764519,
3.....1..4...2.....5.8......36....8.8..64....29...1......3...4...9..65.......589.,intermediate,328564179467129358951837264136952487875643912294781635512398746789416523643275891,
968...7..2....41..1......9.5.........9...1.2..7..6.........7.1....4.2.854.651.2.9,intermediate,968123754257984136143756892581249367694371528372865941825697413719432685436518279,
....2......9.1...6..3....4....4....16....582.......5.94...59..3.12.86.9..35...6.8,intermediate,841623957279514386563978142358492761697135824124867539486759213712386495935241678,
6.29..........7.827...6..............5...89.72....9.1.9...3...58.......65..6.2.73,intermediate,642983751139547682785261349497156238351428967268379514976834125823715496514692873,
..32.57..98..6..5.5..3.7.6.........1......8.......36.98.1.7.9.....5.....6....93..,intermediate,163285794987461253542397168396842571475916832218753649831674925729538416654129387,
............6498........63..69.5.28.2.4.3.....3......5..5.8319.6..2.....18.......,intermediate,576328419312649857948175632769451283254837961831962745425783196693214578187596324,
9......1..349...82.8714..6.4..8...2.....2....6...3..49..2497.....6.........6....8,intermediate,965278314134956782287143965453869127791524836628731549812497653576382491349615278,
3...79..........4..8.36....4...9.8.....617.2............4.....667..8.1..83.1....9,intermediate,341279568269851347587364912426593871958617423713428695194735286675982134832146759,
.938...........28.5.....3....7..1........4..29.1328.7.7.92.....3.2..59.141...3...,intermediate,693842157174539286528167349247651893835794612961328574759216438382475961416983725,
......6.9.7.....23..9...5......7.2.6.........2..6.415..6472....5...1.9.4.91....6.,intermediate,452137689178965423639482571915378246746251398283694157364729815527816934891543762,
3...275..672.4..3..8.1.......5.....8...21.35.12.5..7..4.8......2.1...8.........4.,intermediate,314927586672845931589136427945673218867214359123598764438751692251469873796382145,
.1.8......8.......5..41.....659..8....1.5....94....6..45.....1..9612..4.....6.2.7,intermediate,219835764684279153573416982365942871821657439947381625452798316796123548138564297,
6..1.8495.2.95.........4..8.8..4..59...6..........1.32...8132..........4.1.......,intermediate,637128495428957361195364728386742159251639847974581632549813276863275914712496583,
.56...1.7.1....943.....1.8....5....983...9..17..4...6.174.....8......6..5........,intermediate,356894127218756943497231586641587239835629471729413865174962358982375614563148792,
3.....2.9.........7...1..5...6...39.9....3.7..8...7..1..2..6.......951.859.2...67,intermediate,351674289869352714724819653176548392945123876283967541412786935637495128598231467,
..15.4.........75.....81...9.......3.3.8....6....46...7...1.6.8..5...39....6.75..,intermediate,271564839846293751359781264967152483534879126182346975723915648615428397498637512,
7.......2....6874..6.9....8.24.978..3.6........1.3.....19.8.....3....6..8.....4.9,intermediate,748351962195268743263974158524197836376842591981536274619485327432719685857623419,
86...........1......4.87.16.26......7.8.5...49.....8....92..5.....6.12...4.7...9.,intermediate,861423759375916482294587316426879135718352964953164827639248571587691243142735698,
.738..5...8.........64...2..27.........38...7...6..........523..5.....793.....8.6,intermediate,973826514284571693516493728827149365165382947439657182748965231651238479392714856,
.129487...3967....6...218.......9..7.97...3........4.87.......4..1.......43...9.6,intermediate,512948763839675241674321859428539617197864325356712498785296134961483572243157986,
..1..........4..9.2.819...6.59...7......749656...2...8.6..1.4.7.......5....8...2.,intermediate,791256834536748291248193576359681742182374965674925318963512487827469153415837629,
..1..2..7........8...531...7...2.6.5..26.........53.4..57..8..6.6.4..5.3......1..,intermediate,641982357325746918978531264714829635532674891896153742157398426269417583483265179,
....8....9.62..83......41.23...9.4.64....8............8...1.6.467..4.38..2....7..,intermediate,215386947946271835738954162382195476497628513561437298853719624679542381124863759,
.3......1....8.9.69.17..5........7......9.2.8..8......5.63.....8..97..2..9..2..1.,intermediate,637259481452183976981746532149862753375491268268537149526314897813975624794628315,
62.37...1...1....8..982...5..16....99.........8....71..739........2.....25.....6.,intermediate,628375491537149628419826375741638259962517834385492716173964582896253147254781963,
14.........9....6.5...7.1..4.81..5......57.....168...9.9.5....12....8.....5.92...,intermediate,146835792379241865582976134468129573923457618751683249897564321234718956615392487,
.1.......7..4.........32.....6...93..4.8..6..32..1...7..9...71.4.......2.7.9.48..,intermediate,612798345735461289894532176156247938947853621328619457269385714483176592571924863,
..1....6.5...9....4.6...87..25......1.4...9268....1...6.85....4.....6.9...2.4...1,intermediate,281473569573698142496152873725964318134785926869231457618529734347816295952347681,
..8.74.2..6....3...1......8..1.6..4.83.5.....6..32..1..7....6....4.......8.4...7.,intermediate,358974126462158397917632458721869543839541762645327819173295684594786231286413975,
.78..2..6.35..9..21......9....57.3.................9872..63..15...8.....5..9...28,intermediate,978352146635149872124786593892571364367498251451263987289634715716825439543917628,
...8.4......9...54.....1.8.1.7..6....69.53..8......67..5..47.69......3.....6....5,intermediate,526874931318962754974531286187426593269753418435198672852347169691285347743619825,
.5..3.9.....9....5..1.8..........249.1.....5..4....38....64.1..62..........8...92,intermediate,852134967437926815961587423586371249213498756749265381395642178628719534174853692,
1....7..68.6...359...6....163...9.......8.59..8....1.....3...........8..9....1.27,intermediate,125937486876124359394658271632519748417286593589473162748362915261795834953841627,
.52..9....6.5.........1......375......8..2..3..18..95....9.12.6.9.2.3.75....7....,intermediate,152349687467528391389617524923756418548192763671834952735981246894263175216475839,
617.59..8..4.......59..2...9.5..4.12.8...65.........94.2...........27.5...6..5...,intermediate,617459328234178965859362741965734812481296537372581694528643179193827456746915283,
1.5.67............67...3..449..7...6..36......1..4..839....14..3.........8..54...,intermediate,145967832839425671672183594498372156523618947716549283967831425354296718281754369,
1...9.....7.18..95...4..3.8.5.......8.13..2....7..........32..93985.....5.......4,intermediate,183695742472183695965427318259716483841359276637248951714832569398564127526971834,
...........8...3..5...7....2.6.8...1.......7..8..526.4..37..8.6.2.4...1..713...2.,intermediate,932546187768219345514873962246987531159634278387152694493721856625498713871365429,
3.8..45........62.97...5........9.35......2.9......74..2.9.8..6......3..784.2....,intermediate,368214597451897623972635814246789135817543269539162748123958476695471382784326951,
4.87..561......4..3..6...8795.8.........1..5..7.94....7.3.8..1........73.........,intermediate,428793561697158432315624987952837146834216759176945328763489215249561873581372694,
.6.8.2....73....2...9....6....1..3.68.....4.7.....3......39.28.....2....62....1..,intermediate,165872943473619528289534761942187356831265497756943812517396284398421675624758139,
8.3.2..1..2..1....1..83.....74..6.2326.....4..9...7..6......968......4.....9.....,intermediate,843629517629715384157834692574196823261583749398247156732451968985362471416978235,
4.376...5........6.7..8..426..2....4.....5.8..9....3..847.........8......2..4....,intermediate,413762895258194736976583142681239574732415689594678321847956213369821457125347968,
.74.59......27......16.4............5..7..8.4..2941.6...78....2..84.59...2....15.,intermediate,674159283895273641231684597143568729569732814782941365957816432318425976426397158,
5.74....11.69..2...4......8..125..6....1...9.8....6.5.69.87.......6.........2....,intermediate,527468931186937245349512678971254863265183497834796152693871524712645389458329716,
........16......3...3.82....529.17.6.1...8..3..75.......6.9....1.93.76..72.......,intermediate,298463571641759832573182469852931746914678253367524918436295187189347625725816394,
45......338....2....6..58.77..6..4.88....2.6..31.........2...46....5.......41....,intermediate,457928613389167254216345897725691438894532761631874925573289146142756389968413572,
...85....76.2.3.......76.1..7.....56...7....9..9..183...5.9.3...8.32...1.....5.2.,intermediate,912854763764213985538976412871439256653782149249561837125698374486327591397145628,
4.....587.3..........1.....7......4..58....6....76...19..3..6......81..41.764..9.,intermediate,491236587635874129872195436716528943358419762249763851924357618563981274187642395,
1.45............8.25...3.1.........1...2..5.9..27......7835...49..4.1.....5...9.3,intermediate,184576392739142685256983417547698231861234579392715846678359124923461758415827963,
