Puzzle,Solution,
.826...1.7.9....82....5..6.9.1...4....5.4..2..4..17.........9.......1.4.2.8....5.,expert,582679314769134582134852769921385476875946123643217895456728931397561248218493657,
..18...3.7....24..4.....792..5......9.4.....7.2.7...8.5..1.8..9.8...42...1..9....,expert,291847635763952418458613792875421963934586127126739584542168379689374251317295846,
.......5........3..94.....86.1..8....8734.5.9...5....7...75......68.9....48.3..7.,expert,762483951815297634394615728651978342287341569439562187123754896576829413948136275,
2....1....4........98..7.3.9...324...61......4..1..9.7.3....84.........28..2.9...,expert,276391584345826791198547236987632415561974328423158967632715849719483652854269173,
.....35.2.......1......13.9.7....2.19.4.5.....3.1.4..77........34...819...1....85,expert,189643572623597814457821369576389241914752638832164957768915423345278196291436785,
8..3..4....3....672.75.1....7......1..57............3..3.1....8..2..8.56...25.34.,expert,856379412913824567247561983379645821125783694468912735534196278792438156681257349,
......2...93...6.7..2.1......17..89..89......6...4....1...8.7.3..7..2.4.96...4...,expert,716893254893425617452617389241736895389251476675948132124589763537162948968374521,
184....5.....1......9......3..4.9..5....6..8.6....84.9...3..16..1..7......6..57..,expert,184693257532817946769254831378429615495761382621538479957342168813976524246185793,
..31..2..6.748...914...3..6...63....9.6.7.31..........7..34.89.....9.......712.6.,expert,593167284627485139148923756874631925956274318231859647715346892362598471489712563,
...3.46.9.9..18..36.........18..7..........8.....5.79...6....3.5.41.....8...4..67,expert,781324659295618473643975812918267345357491286462853791126789534574136928839542167,
.8.....5.2.......45.13..7.6..4.6...57.........63...2..1....3.7..5.71...8..6...1.3,expert,687421359239576814541398726814267935725934681963185247198643572352719468476852193,
.2..3.6.1.59......3..4.9.....4...32.5.3.9.....6..7.......5...3.......1.9..7...4.2,expert,428735691759168243316429578194856327573291864862374915941582736235647189687913452,
2.......4.74....6.....1..9.9.84....2..1.95.4.5..278.....758...9......8..........7,expert,219653784374829165685714293938461572721395648546278931467582319153947826892136457,
95.4...71.2....9..8...5.4...4...5..85..7.4..9.9.1.8...2...73.......2.....1.8..3..,expert,953486271624317985871952463146295738582734619397168542268573194439621857715849326,
2..5..76..9.1....8.6.8.....7.8.9........3.5..............2...915...7.23...2......,expert,281549763395167428467823915738695142624731589159482376873254691516978234942316857,
.......3.3129...5..8...5...85...3.....7......431.5..8..74.1.29.....928.....57...1,expert,745281639312964758986735124859123467627849513431657982574318296163492875298576341,
....389...9...13.......2.1.672........59...3....67....2..........1....79.3..1..5.,expert,127538946594761382368492715672183594815924637943675821259847163481356279736219458,
....219....694..3........46....5.3.......74..75.1.......3...6591....2........9...,expert,435621978876945231921873546692458317318297465754136892283714659149562783567389124,
.....2.5167...9..49.5......1..6..749....57...3............31..5..9...3.....9.5..7,expert,843762951672519834915348276158623749294857163367194582786231495529476318431985627,
..89.3...1.9...25..5..........8.....3.5....1.....3...6.....4.3.6.2.....5.8..654.2,expert,428953761139786254756421389267819543395642817814537926571294638642378195983165472,
5.71......14...39.3.6.4..7......7.......9........65.2...2...1.....6..94.7..91.5.6,expert,527139468814726395396548271259487613638291754471365829962854137185673942743912586,
..489...6...6.7.....7...39...9...1.4....415.....5...6..93.8.641.467..8.9.......3.,expert,354892716918637425627154398579326184862941573431578962793285641246713859185469237,
.....2.7...5437...2..8.6.....85..6..6.7....5..3....2.......97.5...6...9..8.7...32,expert,364192578815437926279856341428573619697218453531964287142389765753621894986745132,
..5..7.4....9.4.3.......985...246............8....3.62...36..74.39.....874..8..9.,expert,695837241281954736374621985953246817462718359817593462528369174139475628746182593,
......9...5..14.8..2..3..1...1.5286.....9.....8......4.........8.3.2....9..1.84..,expert,136287945759614283428935716391452867674893521582761394217349658843526179965178432,
7.......1.3.97...5..543..6..1.....8.5.6..81.9.83.4.5..3...5...8...7.......4......,expert,742685391638971425195432867419567283576328149283149576367254918821793654954816732,
6..1...2....5..19.8....356...43......21..5....6.4..2..5......8..8.29..5......1...,expert,695148327243576198817923564954382716321765849768419235572634981186297453439851672,
..3.6..4......51......97.636.47..23.79..........6...5...24..3.1.....2.........5.4,expert,273861945986345172145297863654719238798523416321684759562478391439152687817936524,
.5..1.....71....4...34.....93......57..65..........37...8..693..659..8..........1,expert,459317286671298543823465719934782165712653498586149372148526937365971824297834651,
..5..27.4...............15...27...3.7.4....2.5.6.9....2....59.6.19..4.......3...2,expert,365812794471359268928467153182746539794583621536291847243175986819624375657938412,
....348....6.28......7...6.3.8...6..5..1......6...2..1.3.46.18...4..72.58........,expert,975634812146928753283751964318549627529176348467382591732465189694817235851293476,
.5.....1.....7...82..89.7.3...2.......9.568..17.....5.937.1.28...5......61.......,expert,758423619493671528261895743584237961329156874176948352937514286845362197612789435,
..7.....1....9...7....4.9...........31.9..4.6..2..687.1..2......7.4..6..64.1...39,expert,937682541824591367561743982756824193318957426492316875183269754279435618645178239,
...6.8....68.592...7....3...57.4.....8.7..6....3..2.....24.6....492...3......39..,expert,321678495468359271975124368657941823284735619193862754532496187849217536716583942,
.23......7..96...5......74...9.1..562...36.7..6.4..2......5..1.1...7...99.7......,expert,523741698784962135691385742479218356218536974365497281832659417146873529957124863,
.8.1.34...2....1......24.....3..168.96....2...1.8..3.4...3.........98......51286.,expert,589173426624985137371624958743251689968437215215869374852346791136798542497512863,
..5..9.1....41.........5..6.68524..9.5....2....78...6.1.6..2..8.2...........96...,expert,745689312682413957913275846368524179451967283297831564176352498529748631834196725,
..2.98..63..6.48.7...2..3.....8.3971...14..82..........3.4..7..6.89....42......3.,expert,752398416391654827864271395425863971973145682186729543539412768618937254247586139,
...1.......1.4.72...8.6.9............6.951......78.4....7..68..2.....59.5.9...17.,expert,324179658691845723758263941875634219462951387913782465147596832286317594539428176,
1.5....6238.1....4.64......4.8.............5.....52.......6..2.2....394...1..4.86,expert,195748362382196574764235819458679231923481657617352498849567123276813945531924786,
6....1..5.....6...78.23..9....6....352.......9.1..........6.......8.53.78..19726.,expert,692781435314956872785234691478619523526473189931528746147362958269845317853197264,
9....13....8.........2...6924.93..71...4.8.............3...21.4.9..7...3.6.84..97,expert,926751348478369215351284769245936871713428956689517432537692184894175623162843597,
..27.5....8...3.45.6..2..7.......3..2...6...9.........6..3.295.8..9..4.65..4....2,expert,312745698789613245465829173176598324234167589958234761641382957827951436593476812,
68.9..1.......4.5......1.7...845.....913...4..7..........1.59.......8....19..3..8,expert,685972134127834659943561872368457291291386745574219386836145927752698413419723568,
....8....948.....11..2....52.........97......3..9...12..4...57....3.5.....2.14..8,expert,725681349948537261163249785281456937497123856356978412614892573879365124532714698,
.7.6.4.1...819....9......6..........1.63..4...85.7....5....38.1..4.17...3..4...5.,expert,273684915658192374941735268739841526126359487485276193567923841894517632312468759,
..24.5.69.....63......9..14.7956....1.......6.....7.3...7..24...953...2.........7,expert,732415869941826375568793214379568142184239756256147938617952483895374621423681597,
.6.1.5....2..761.5......4..2.....8...1...9.5..8..6..2....8....4..7.1........57..6,expert,869145372423976185571328469296531847714289653385764921652893714947612538138457296,
..5......98....3..2......6.1.65..7..53..8.....28.....6..2.176.3....3.9...71.5...8,expert,465378192987261345213945867146523789539786214728194536892417653654832971371659428,
..7..8.....26.....8..57.96...5....74.6........84....5..2..34...5...69.87.....5...,expert,697348125352691748841572963135986274269457831784123659928734516513269487476815392,
17.45..3.95.16..87.6..9.5...........6..3....149.81..63.1..................3...8.5,expert,172458639954163287368297514231976458687345921495812763516789342829534176743621895,
...4...1.3...7...5....51897.....853..43...7....2.4...8..1..2....5.......4.....98.,expert,785429316319876245624351897167298534843165729592743168971682453258934671436517982,
9.......4..6............5.337.5..4.11...23....5...9..2...43.17...129..4.......2.5,expert,917352864536814927824967513372586491149723658658149732265438179781295346493671285,
.1.46......7..31..34..1...88...4....1..7...53..3....7.......9.59...8..6...8....3.,expert,519468327287953146346217598872345619194726853653891472721634985935182764468579231,
3...7..5.5...9......8..1.......5......512...8.41....25.94....7...72.........1394.,expert,319672854576498132428531769283956417765124398941387625194865273637249581852713946,
.173.5............6..19........1.4....3..9...75.638..1....4....86.....3...9..15.8,expert,217385946498276315635194872926517483183429657754638291572843169861952734349761528,
.192..3....4.732....5.4..67...71...3......57..6...4..1.9..5.1..2...96......1.....,expert,719268345684573219325941867942715683138629574567834921896457132271396458453182796,
..........26...4.5...2.43...47...5.....54..6...5...28...4..7....3..51....78.6..3.,expert,413675928826193475759284316647328591281549763395716284164937852932851647578462139,
.1945.76..7....2.9.4.....5.....6.....5..1...73.....91.73..9.4....56...7...25.....,expert,219458763578136249643972851921764538854319627367825914736291485495683172182547396,
43...1..6.....7...8.9.2...49.....8...2....61..73.1.9...9...6.3.....82......74....,expert,437891526256437189819625374941263857528974613673518942792156438164382795385749261,
..2693..4...5.......9.2....9..4....1.4....6..3...52...134...5.96......1...537..6.,expert,512693784783514296469728135958467321241839657376152948134286579627945813895371462,
2..1...7..1...7.9.74.......6..9.1.573..5...6257.4.21.......9...1..6...2..3.7.....,expert,259184376816357294743296581624931857391578462578462139465829713187643925932715648,
.9..285...7....2....3.5.1.92...9...8.......94...7..3..5....9.1...8.....5.4.81....,expert,196328547875941236423657189234196758781532694659784321562479813918263475347815962,
....4....8.1....4.9.7......62.1..3.....4..9....3.28..7..431.7..31.7............8.,expert,562943871831672549947851236628197354175436928493528617284319765316785492759264183,
.6......85.1..........5...7.8.....5...438....1....5..26....74..7....4.16..321..7.,expert,469173528571428639328659147287961354954382761136745892612597483795834216843216975,
.81...........9.2.9....71...3.....82.49........5.4..133.79.2.......51...21...4...,expert,481526379573189624962437158136795482849213765725648913357962841694851237218374596,
.31..7.9..47...28.5.9..1.74....3....823.75....9..........54.9.......3....7..98.4.,expert,231487596647359281589261374716934852823175469495826713168542937954713628372698145,
.....7..1.6..1.7.5..5.3...9..216......3..2.......5....4....61.3.1....9..2.7....6.,expert,328597641964218735175634829742169358593872416681453297459726183816345972237981564,
.7958.2.6.....6.591.....7......9...5586.....7.1.........31..8.....8...9.6..2.7...,expert,379581246842376159165924783237698415586413927914752368453169872721835694698247531,
7.5.1.3.96..7....8....8........5...3.6....29...9.7..8.5......21.935..........8...,expert,785214369612739458934685712841952673367841295259376184578463921193527846426198537,
..7.....625.....4.1.....7..9.516.....418.....86.2.7.........6.7...72..1.......852,expert,397412586256978143184635729925164378741893265863257491412589637538726914679341852,
.7.5.3.......9...8...14..2.4..2..159.........82...5......8..3..1..3...857.....4..,expert,678523914214796538395148627436287159957431862821965743542819376169374285783652491,
...49.3.51...8...4.....6........5.8...6......95.76....6.89.1.4..7.........1...53.,expert,867492315123587964549136278712345689386219457954768123638951742475623891291874536,
.8...52.3...218.7.9........1.......5.367..9..7.........1......7.....2.3.5...6..1.,expert,481975263365218479927346158142639785836754921759821346214583697678192534593467812,
23.4.6....4..7.5.8...3....4823......1.....3...7...4.2...7.8...........4..5.1....7,expert,238456719641279538795318264823591476164827395579634821417983652982765143356142987,
.8...72....24.8..99.....7.5.5.....32.4...6....26...4...97.245......5.....6.......,expert,683597241572418369914362785758941632349276158126835497897624513431759826265183974,
........9.9.2.......48.......7.48..23.872...6...91..7.2......61..36.......9.3..47,expert,836574219591263784724891635967348152318725496452916873275489361143657928689132547,
.......6.1....9..3....81....7....8..8.2...9...6.82..3.63....7.52...9..1.7.9.3...8,expert,483572169127649583596381247371964852842153976965827431634218795258796314719435628,
.6..2.3........8.485..1..2....8......1...6.3...8...2...239..4.11..5.39...89....6.,expert,967428315231675894854319627672834159415296738398751246523967481146583972789142563,
.7..35..99..4.2..........4..........73.....9.45...8...695.8...4....4..2.8...7936.,expert,274835619981462753563791842129357486738624591456918237695283174317546928842179365,
3......7.....9....9..5.4..1.8...3......1..943.....5.1..583....4.2.7.....4.9..8...,expert,346821579815697432972534681184963725567182943293475816758316294621749358439258167,
..6..81..52.96......9....63...3....1....2.8...9..172.5.5...1..2....9.......5..7..,expert,346758129521963487879142563267385941135429876498617235654871392713294658982536714,
.5..2..9.......4.891......7.7.5.1..4....84..5..2.........618...7..9....21...4.8..,expert,456827391327195468918436527879561234631284975542379186295618743784953612163742859,
....3..51.....5..3...96.7.83........9.831..6...6..7.84.794...1.8...........8.9...,expert,682734951791285643435961728357648192948312567216597384579423816823156479164879235,
...5...4254..73......62.....5.....6...6.9.....8....3.7.3.4....9.6....5.3..8..7...,expert,673519842542873196891624735457238961316795428289146357735461289164982573928357614,
.2...41..5.9...7......3....9.31...5241..23..7...6.7..3.4....5..2..9.......1......,expert,627854139539216748184739265973148652416523987852697413748362591265981374391475826,
.4...7.5...1.....339.........7....2.4....1..5.53.7....1.......4.269...37.7..351..,expert,642387951781569243395142786917453628468291375253876419139728564526914837874635192,
5...6...839...4....4....7...8.5.......36.7....54.83.16.71...3.........8.9..83....,expert,527369148398174625146258793689512437213647859754983216871495362435726981962831574,
928...............64.2.71...3......478...2...2..1.69......6....3...9..8...74...63,expert,928514376571639842643287159136958724789342615254176938415863297362795481897421563,
..879.5...57..29....3.....8...8...4623...........5...9849..........4......69....3,expert,468791532157382964923465718795813246234679851681254379849536127372148695516927483,
.8..214.....56...12....465...273....76..8...5........83.4......5..........8....14,expert,685321497437569821291874653842735169769182345153946278314297586576418932928653714,
....4..6..2..........6..3.86.....2.....3...17.1.8.7.45..8..6.523...8.1......5.4..,expert,539248761826173594471695328687514239254369817913827645148736952395482176762951483,
...42..3.9....7...7241.9.......53.....9...4..3..8..1...7...8....3..7...85..2...4.,expert,815426739963587214724139865147653982689712453352894176276348591431975628598261347,
2.5....9..871....59.....7....67..5....1.2......2..9.......15..836..7......9.823..,expert,215467893687193245943258716836741529591826437472539681724315968368974152159682374,
64..9..1...8.1.5.2.......8.........1..2..3...867..2....7...1.....6.2.....945....7,expert,645298713738614592921375486359867241412953678867142359273481965586729134194536827,
7.5.......4.3..........47154..9......98.......63....8....61..7..3......81....3.46,expert,725189634641375892389264715417958263298736451563421987854612379936547128172893546,
....5.8..4.87..3...3.4.297....9..1...........79...4.8.9..2.......1....53.2..3...9,expert,279653841468791325135482976582967134314528697796314582953246718641879253827135469,
...6..27...4.298.1.......4.......9...75.42.6....58...7.4.......5..7...8..8..1....,expert,831654279764329851259871643428167935375942168196583427947238516512796384683415792,
71..9.28..6...2.41.8.5....72.......9....4..........8.......1....562....4..867....,expert,714396285569782341382514967275863419893147526641925873927451638156238794438679152,
8...729..4.......7......84.....1.52.1.....4..293.8.....4..28.95..13..28.........4,expert,815472963462839157739651842684713529157296438293584671346128795971345286528967314,
5...28.......5.2.............2.9.3...3..825.4.1.3...2..517.9.........4....3....78,expert,596128743374956281128437956482591367739682514615374829851749632267813495943265178,
...6.21.8.......7..8...1.......7.48..7..1..3..6...4...31.2.....9....8..6748.....3,expert,537642198691583274482791365259376481874915632163824957316257849925438716748169523,
...19....5.7.64..........5...924176...8....42..1...59.7....9.....6...4...4..17.2.,expert,263195874597864231184372956359241768678953142421786593712439685936528417845617329,
...3.9..2..462.3..6.......4.9..8..6.............5.3..8.258...4.38.....7.....6..3.,expert,718349652954621387632758194591482763843176529267593418125837946386914275479265831,
.68.7.....2.....4.4...21...68...49....1.3...7........2....67..3......2683.....1..,expert,168475329523896741479321856687214935251639487934758612842167593715943268396582174,
.6..2.3..1.9.....25.3.917.........6.4....2..5.95...134..1...5.76......2.....5...9,expert,864527391179634852523891746317945268486312975295786134941263587658179423732458619,
...5..4......2...318..4672........84.5.46.2......8.65.....5..3...2....4...67..1..,expert,297513468465827913183946725629175384358469271714382659971254836832691547546738192,
......2......5..13...32.75.2....31..1......6.........8..6.95....5..623.78.17.....,expert,315678249672459813498321756269583174183947562547216938736895421954162387821734695,
8.5...2.6...68..9523.....7...32....8..4..........79.....8567......8.3...4........,expert,895734216741682395236195874973216458614358927582479631328567149159843762467921583,
2.13.6.....6...2145.....6...9.1...58.6..4....3..9.5.......9.4........8.59.......3,expert,241376589736589214589214637492167358165843972378925146853792461627431895914658723,
......6...6..95.78.5.2..49.6..7.3.4.5.3...9..2...89...8..5.7....9.6.4.......3....,expert,937841625462395178158276493619753842583462917274189356846517239395624781721938564,
....4....2..36.4...7.98...1.6..3.........12..8.9.7.63.....1.....2....7....7....48,expert,956147823281365497473982561562839174734651289819274635648713952325498716197526348,
......1.6....2......34........2...9...43..5...9...136..395...845.6.9...384.6....5,expert,482975136657123849913468257378256491164389572295741368739512684526894713841637925,
........836....2.......9.5......5..672.48......5..37.....9......8465....67.3.2...,expert,459126378368574219217839654143795826726481593895263741532918467984657132671342985,
.2.97.1..57...8...1...........837.29...2..6..23.19..8.....2376.8......3..........,expert,328975146574618392196342875641837529987254613235196487419523768852761934763489251,
..2.....63..............97...9.....3..63..21.2.1.9.74.6....3..8.9.8.413.....1....,expert,972481356345976821168235974759142683486357219231698745614723598597864132823519467,
.18.3.96..........9...7......5..2...3.6.9.....9.7...8..7.56...3..9...7.5..18....6,expert,418235967627948351953176248745682139386491572192753684274569813869314725531827496,
...............3.27.9.3..1..7....26...85..9...5.3...7.2...8....1....2.9.6..7.38..,expert,523146789816975342749238516371894265468527931952361478234689157187452693695713824,
8.4..51..9.5..7.6....4.8.9.17.6..489......7....8.....6....14...3.78.6...........1,expert,864295137925137864731468592173652489642981753598743216259314678317826945486579321,
6.....57.2.4..............9..6......847..5....5...4..8...97...4.9..4..35..8.2.7..,expert,639418572274659183185237649916382457847195326352764918523971864791846235468523791,
...8.7...2..6..4...............9....54...296..7.5.6.....4.8.5..7.3.4.6.2.95.....3,expert,436827195251639478987154236162498357548372961379516824624783519713945682895261743,
.9..2......2.98..4.4............3...1...7..3.2.7....8.....6.7....17.2..63..14...9,expert,695421378712398654843657291459283167168574932237916485524869713981732546376145829,
...3...6......1.9.....8431.93..7..2.4........2.76.8..4.83...9....271........3....,expert,819357462374261895526984317931475628468123759257698134183542976642719583795836241,
87.3....1..5.8...32...61.....95...6......7.923...9......3.5.......123...15.6.....,expert,876345921915782643234961785429518367561437892387296154793854216648123579152679438,
....9.......8.4..7..1.72....6.21.9....8....765..4.....94.....15..69....2.....1.8.,expert,687193524235864197491572863364217958128359476579486231943728615816935742752641389,
1...63....5..9..........78..9....8..63.5..19..7....5..5..1.........3.9.27....6...,expert,148763259357298641962451783295617834634582197871349526529174368416835972783926415,
.79..1..248.2......3..4.6.9....2.7..7.6..49...2.......94....8....8......2.1..9...,expert,679351482485296137132748659594623718716584923823917546947132865368475291251869374,
6.7..54..3.1.6.7.2..5.8....1......348.....5.12.4.............7.5....6..3.4.1..8.5,expert,697235418381964752425781369179658234863427591254319687938542176512876943746193825,
.6...3.....8......5.1......34.15..7..12.7...6.....6.1....3..867.2..1...465..4...3,expert,269583741478291635531764289346152978912478356785936412194325867823617594657849123,
.4.35..6....4.85.9..26.9.3...6.8.4....3....7..5.......9.4.......7...5.2.3....2...,expert,849351762637428519512679834296187453483596271751234698924763185178945326365812947,
.8...45..7..1.5.4.9.....21..1.52.97...........4.3.1.......37......9....25..8.....,expert,183264597762195348954783216316528974275649831849371625628437159431956782597812463,
26.9...5....7..49..49.1.3.....6..9..5...2..1...3........6.......3.47.5.....2.9.64,expert,267943158351768492849512376714685923598324617623197845476851239932476581185239764,
..8..3..13...462..6....73....6....181.....45...4.7.6.2.2....53.....8...6.......74,expert,748253961315946287692817345236495718179628453584371692827164539453789126961532874,
.........87............9.5.7.6...5..39.6.48......3..9...374.6...87..2.3.9..5..42.,expert,129475368875326914634819752716298543392654871548137296253741689487962135961583427,
.459.7.61.....2.95.1....74.4..6......98......6.72.4..9.6........7....41.2.1.5....,expert,845937261736142895912865743423691587198573624657284139364718952579326418281459376,
.1...4..5.7.3...6..45...3.........7....9.35..8.7..69..6.95..73...3...8.6..4......,expert,316794285278315469945862317592148673461973528837256941629581734153427896784639152,
.6..1.....89......1.........5..7.3......2971.....68....26.93..8.37..61......8.2..,expert,364915827289637451175842639952471386648329715713568942426193578837256194591784263,
87....2.........795.16......1....8.....8.9..4..9..7..5.6..9...7.5....4..4......81,expert,873941256246358179591672348714526893625839714389417625168294537957183462432765981,
..23.4...4......93..7.9.1........7.9.....8......26...4...7...3..4...2..1.6..1..8.,expert,192354678486127593537896142823541769614978325975263814251789436748632951369415287,
.......7..745.2.1..1.6........9....793..1.62......53...45......6..12.4..1....7...,expert,826341579374592816519678243452936187938714625761285394245869731697123458183457962,
82..43.79....952.......143..13..2.....4.5.....9.7...5..7........52........9...14.,expert,821643579347895216965271438513982764784156392296734851478319625152467983639528147,
.8......9.23.....6...8.9..4...4.6....3........9..3524.5....8.....79..3.5....4.6.2,expert,184673529923154876756829134271486953435291768698735241562318497847962315319547682,
.......6....38.25...9521...68..92........3..67936....8..1..8...83...7......9....5,expert,528479361417386259369521874684792513152843796793615428941258637835167942276934185,
....7.6.3.......514......9.6..9.5........1.42......5...2.5...3915..23.....4..7...,expert,215479683897236451463158297672945318538761942941382576726514839159823764384697125,
.8..92.7...6.1.8...1.58..2.1...5...74..2.7.........4........1......26......875.62,expert,584692371236714859917583624163458297498237516725961438672349185859126743341875962,
8....9...51....8....3..7.....51...34.64..........7..916..9....59..83..67..8......,expert,876319542519624873243587916795168234164293758382475691627941385951832467438756129,
..2.3.........86...7816.......7.....8.1..6..943....2.69..31.7...6.4......13...8..,expert,642935187159278643378164592596723418821546379437891256984312765265487931713659824,
825..1.74..1...6....32...1..486...5.....43...6...............2..5.1...6.23.7.5..8,expert,825361974471958632963274815348629751517843296692517483189436527754182369236795148,
.78.3.1..2....53..........9........13....78......1.....5.9..63...3.827..79.56....,expert,978634152246195387531728469687349521319257846425816973852971634163482795794563218,
57......11.....2..6327...8..1.5.3..........38...82.41632..45................8...7,expert,579238641184956273632714985418563792296471538753829416327145869865397124941682357,
916.5.4...5....6.78....49.........8..49...7..67......55.....89.481...5.....2.....,expert,916752438354819627827364951135476289249538716678921345562147893481693572793285164,
5....9......5.....1.....67.....7..9...4..53..9..1..5.4.31.6.....4.7..83...5...9..,expert,527619483486537219193248675352476198614895327978123564831964752249751836765382941,
6......9..23.4....97..8..3...............7..9..56.3..8.5.....278...7.6..2...38..5,expert,648315792523749186971286534736894251482157369195623478354961827819572643267438915,
4...8...2..84.23...52..3...19......8....3.7.....5...4.....9..2.3..85.1...1.2..9..,expert,431985672978462315652173489196724538245638791783519246564391827329857164817246953,
5...4837.7......1.2...91..4..7.351........95....9.2.38..48..........3...9........,expert,519248376748356219263791584897635142326184957451972638134869725675423891982517463,
...3.8.2.1......4.5.6.......4.69.......2.39.1...5...6..639....2...1....5..5.6.3..,expert,974358126138726549526419738841697253657243981392581467463975812289134675715862394,
.1.8.5....4....95....41.2.66..24.5..9...6....4......6.....7.19.1...5..48..8......,expert,216895473847632951359417286683249517971563824425781369564378192132956748798124635,
.8..........3..7.1.79....48....8....65.94....9..5..6.....7....6..6..41.773..19..4,expert,283471965465398721179265348327186459651942873948537612814753296596824137732619584,
3.9..6..4.......8........35....4.....92675...6.5.2.4..93.5....7..7..3....5......6,expert,389156724526734981741289635873941562492675813615328479938562147167493258254817396,
.9..5.4.23..79..5......3.6..3..........4..1.617..69..4.2.....1....2..943....7....,expert,897651432346792851512843769634127598259438176178569324423985617785216943961374285,
.....36.47.5.......3.79..2...7.6....2......5.......3..5..37.482....8...9..65.....,expert,192853674785624193634791825347965218261438957958217346519376482473182569826549731,
9..1....6..42.....3...6.8.4.28......4.3..51..1..4.6..........4......26.9.....9582,expert,982154736674283915315967824528791463463825197197436258259678341831542679746319582,
....19..3.8.........1.6.....18.5....3.7..4..94.....6.......6..7...5..8...59873..6,expert,576419283983725164241368795618957342327684519495231678832146957764592831159873426,
..74......8937.6......913.7.5..4....74......6.......9...5...7.........1.41..59.8.,expert,137465829589372641624891357953246178742918536861537492295183764378624915416759283,
..741..9......6.45...2.97..9625..8...5...7..6..4.......167....94.......82.5......,expert,587413692329876145641259783962531874158947326734682951816724539473195268295368417,
...83.1...1..6...3.......2....21..3.......8..97...6..4....7......46.9.8..21.839.7,expert,295834176817562493463791528546218739132947865978356214389175642754629381621483957,
...3...2......857....4.539........39.9.........4.5678.3..5......5.7.9.4.9...62...,expert,569317824423698571718425396275184639896273415134956782382541967651739248947862153,
...4.5....5.......7..3.....52.7.34....82....3.7.95..2...3....9..6..7....4.....5.8,expert,839425176654197382712368945521783469948216753376954821283541697165879234497632518,
5.3..14.6.........8.43..1.5..2.845.1....3.2..1......7..........2....57......6...3,expert,573921486621548937894376125362784591457139268189652374718493652236815749945267813,
13...8.6.6....2....7..5..3.2..13.....93...........56..38..7.....6921.8..5.......9,expert,132748965645392187978651432256134798493867521817925643384579216769213854521486379,
....39...2.7..5.8...8.......83.....1..1..2.7........541..25.74..7..9.......4..59.,expert,615839427297145683348726915983574261451362879726981354169253748574698132832417596,
7.1.......6....8.....65471.2.7.....5.4..67.3.6........1..28.....5.7.....3.4..1...,expert,791832546465179823823654719237418695548967132619325478176283954952746381384591267,
.1.......9.7...3.....9.6......1...8.69..784.3..243...14.9..38...8....7..1.3...9..,expert,516347298927815346348926157734162589691578423852439671469753812285691734173284965,
.9.27..5......6.......198..9...5..1..14...7..6...87............87...1.9...1.4..7.,expert,398274651125836947746519832987452316214693785653187429439725168872361594561948273,
..3.9..8...128..4..7.34..16.28.1.3......3.......9.......7.....2..41..8..136....7.,expert,463791285591286743872345916628514397719632458345978621987453162254167839136829574,
83....2....2.5346.9..6.........9.61....51....19.2....4.6............2.......4.3.2,expert,836479251712853469954621783427398615683514927195267834269735148341982576578146392,
.....7.....958.....6....35.1.......2.972.58....5.......5.3.29.....7.....683.5....,expert,531627489479583261268194357146839572397215846825476193754362918912748635683951724,
